[Mourad\155\Foam\Open\BDS01852.txt]
1200 samples
60 Markov chains

(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(1,4)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,3)(1,4)(1,4)(1,3)
(1,3)(1,3)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)
(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)
(1,3)(1,4)(1,4)(1,5)(1,3)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,4)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)
(1,2)(1,2)(1,2)(1,3)(1,2)(1,3)(1,3)(1,4)(1,5)(1,5)(1,3)(1,2)(1,3)(1,4)(1,4)(1,5)(1,6)(1,8)(2,10)(3,9)(2,6)
(2,6)(1,5)(1,5)(1,7)(1,4)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,5)(1,3)(1,1)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)
(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,4)(1,5)(1,5)(1,5)(1,4)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,3)(1,5)(1,5)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,2)
(1,2)(1,2)(1,1)(1,2)(1,3)(1,5)(1,5)(1,4)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)
(1,3)(1,3)(2,3)(2,3)(2,3)(1,2)(1,2)(1,3)(1,3)(1,2)(1,3)(1,2)(1,3)(1,3)(1,3)(1,3)(1,4)(1,3)(1,2)(1,1)(1,2)
(1,2)(1,3)(1,3)(1,4)(3,6)(4,6)(3,5)(2,6)(2,6)(1,6)(1,6)(1,6)(1,7)(1,4)(1,3)(1,4)(1,5)(1,5)(1,5)(1,5)(1,4)
(1,4)(1,3)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,5)(1,7)(1,6)(1,4)(1,3)(1,3)(1,4)(1,4)(1,4)(1,4)(1,4)(1,7)(1,7)
(1,7)(1,5)(1,5)(1,6)(6,7)(8,8)(1,6)(1,5)(1,3)(1,3)(1,3)(1,3)(1,1)(1,1)(1,1)(1,4)(1,3)(1,1)(1,2)(1,3)(2,6)
(2,6)(2,8)(1,6)(1,5)(1,3)(1,2)(1,2)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,5)(1,7)(1,5)(1,2)(1,1)
(1,1)(1,2)(1,3)(1,4)(1,4)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,5)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,3)
(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(2,3)(2,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)(2,1)
(2,1)(1,2)(1,2)(1,3)(1,4)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,4)(1,3)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,4)(1,4)(1,5)(1,4)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,4)(1,4)(1,4)(1,3)
(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,2)(1,3)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,3)(1,2)(1,2)(1,3)(1,4)(1,3)(1,2)
(1,2)(1,2)(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(1,3)(1,3)(1,4)(1,5)(1,6)(1,4)(1,5)(1,4)(1,3)(1,4)(1,6)(1,5)
(1,5)(1,6)(1,6)(1,6)(1,6)(1,5)(1,5)(1,5)(1,5)(1,4)(1,4)(1,2)(1,1)(1,1)(1,2)(1,3)(1,4)(1,4)(1,4)(1,3)(1,2)
(1,2)(1,2)(1,3)(1,3)(1,3)(1,5)(1,4)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,1)(1,1)(1,3)(1,5)(1,5)(1,4)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,4)(2,6)(1,5)(1,4)(1,4)(1,3)(1,3)(1,4)
(1,4)(1,4)(1,5)(1,7)(1,8)(1,8)(1,7)(1,7)(1,6)(1,4)(1,3)(1,3)(1,3)(1,5)(1,8)(1,7)(1,4)(1,5)(1,4)(1,5)(1,7)
(1,7)(1,8)(2,8)(3,10)(3,9)(2,6)(2,7)(2,7)(1,6)(1,5)(1,5)(1,6)(1,7)(1,7)(1,5)(1,4)(1,2)(1,3)(1,4)(1,3)(1,2)
(1,2)(1,3)(1,3)(1,1)(1,1)(1,1)(1,5)(1,7)(1,4)(1,4)(1,4)(1,3)(1,6)(1,10)(2,9)(2,7)(2,6)(2,5)(1,4)(1,3)(1,4)
(1,4)(1,4)(1,3)(1,2)(1,2)(1,3)(1,4)(1,5)(1,4)(1,3)(2,3)(3,4)(4,5)(4,5)(3,7)(3,10)(1,8)(1,7)(1,7)(1,5)(1,5)
(1,5)(1,6)(1,4)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(1,4)(1,4)(1,4)(1,3)(1,3)(1,3)(1,4)(1,4)(1,4)
(1,4)(1,4)(1,4)(1,3)(1,4)(1,4)(1,5)(1,5)(1,5)(1,4)(1,2)(1,2)(1,3)(1,4)(1,4)(1,5)(1,4)(1,4)(1,5)(1,5)(1,7)
(1,7)(1,6)(1,4)(1,3)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)
(1,4)(1,3)(1,2)(1,3)(1,4)(1,3)(1,2)(1,2)(1,2)(1,3)(1,5)(2,5)(10,5)(2,4)(1,3)(1,2)(1,1)(1,1)(1,2)(1,3)(2,3)
(2,3)(2,4)(2,4)(1,4)(1,4)(1,3)(1,3)(1,3)(1,2)(1,2)(1,1)(1,2)(1,2)(1,4)(1,4)(1,3)(1,2)(1,2)(1,2)
__________________________________________________________________________________________
[Mourad\155\Foam\Open\BDS01854.txt]
1200 samples
60 Markov chains

(1,1)(1,3)(1,5)(1,7)(1,5)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,4)(1,4)(1,4)(1,3)(1,3)(1,5)(1,5)(1,6)(1,6)(1,6)
(1,6)(2,5)(2,3)(1,3)(2,4)(1,5)(1,5)(1,4)(1,3)(1,4)(1,4)(1,4)(1,3)(1,2)(1,2)(1,3)(1,2)(1,2)(1,3)(1,4)(1,4)
(1,4)(1,6)(1,3)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,4)(1,8)(1,8)(1,5)(1,5)(1,4)(1,2)(1,1)(1,1)(1,2)(1,3)(1,3)
(1,3)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)
(1,2)(1,3)(2,6)(8,6)(2,6)(1,5)(1,4)(1,3)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,5)(3,7)(3,6)(2,4)(1,1)(1,3)
(1,3)(1,3)(2,4)(3,6)(2,5)(1,4)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)(1,2)(1,3)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,3)(1,4)(1,5)(1,6)(1,6)(1,5)(1,6)(1,7)
(1,7)(1,6)(1,3)(1,4)(1,6)(1,9)(1,10)(1,10)(1,9)(1,6)(1,4)(2,3)(2,3)(2,3)(2,4)(1,6)(1,6)(1,6)(1,4)(1,2)(1,3)
